Inputs,Age,Service Type,Service Specific,Insurance,Language,Additional Keywords
"Hello, I'm looking for a pediatrician who specializes in treating children with ASD. Can you help me find one in my area?",Child,Therapy,,,,
"Hi there, I need to find an occupational therapist who has experience with autism spectrum disorders. Can you provide me with a list of providers near me?",,Therapy,Occupational Therapy,,,
"Good day, I'm searching for a speech therapist who understands the unique needs of children with autism. Can you recommend someone?",Child,Therapy,Speech Therapy,,,
"Hey, I'm on the hunt for a behavioral therapist with a focus on ASD for my 6-year-old. Any suggestions in the downtown area?",Child,Therapy,Behavioral Therapy,,,
Can you assist me in locating an ABA (Applied Behavior Analysis) therapist who works with preschool-aged children with autism?,Child,Therapy,ABA,,,
I'm in need of a child psychologist skilled in ASD-related issues. Could you point me to a few in the city?,Child,Educational,,,,
I've been trying to find a support group for parents with children on the autism spectrum. Do you have any information on this?,Child,Advocacy,,,,
We're looking for a special education tutor experienced with ASD students. Are there any in our school district?,Adolescent,Consultation,School,,,
My daughter has ASD and we need a provider who can help with sensory integration therapy. Any recommendations?,,Therapy,Play Therapy,,,
Our son has been diagnosed with ASD and we're seeking a developmental pediatrician who can guide us through the next steps. Can you help?,,Therapy,,,,
I'm searching for a music therapist who works with autistic children. Is there anyone you could recommend?,Child,Therapy,Audiology,,,
"Hello, I need to find a reputable center that offers social skills classes for children with autism. Can you locate one nearby?",Child,Educational,Services,,,
"Hi, I'd like to find a nutritionist who understands the dietary needs of a child with ASD. Any leads?",Child,Educational,,,,
Do you have a list of autism-friendly recreational programs or sports leagues for children?,Child,Educational,Resources,,,
I'm trying to find a school or educational program that specializes in teaching children with autism. Can you provide me with some options?,Child,Educational,Education,,,
