Word,Definition,Example,Source,Learn More
Adverse Childhood Experiences (ACEs),"Traumatic events that happen before the age of 18. A study in the late 1990s (and repeated since) showed that the more ACEs a person experienced in childhood, the more likely they will have physical and mental health problems later in life.","The original ACE test includes all types of child abuse and neglect as well as parental mental illness, substance abuse, divorce, incarceration, and domestic violence.",https://children.wi.gov/Documents/Glossary.pdf,https://www.acesconnection.com/
Advocate,Advocates work tirelessly every day to share their stories and help those who are struggling. They take risks and show their vulnerability by telling their truth in hopes of encouraging someone else. ,,https://www.nami.org/Blogs/NAMI-Blog/June-2020/What-Does-It-Mean-to-Be-a-Mental-Health-Advocate,
Anxiety,The fearful anticipation of further danger or problems accompanied by an intense unpleasant feeling (dysphoria) or physical symptoms. Anxiety is not uncommon in children and adolescents.,"A child or an adult starts worrying about a lot of different things. There may also be strong fear of being judged, embarrassed or shamed, even in everyday situations, such as speaking publicly, eating in public, being confident at work or making small talk. This happens over 6 months or more.",https://www.bestselfwny.org/resources/glossary-of-mental-health-terms/,
Autism Spectrum Disorder (ASD),"Is a complex nervous system growing (neuro-developmental) condition that involves continual challenges in social contact, speech and inability to speak (nonverbal communication), and limited/recurring (restricted/repetitive) behaviors. Like the name implies, ASD is a spectrum and Autistic people differ in how they interact and communicate. ASD can also present as delays in speech growth, limited social understanding, and limited interests and activities. This condition is usually identified in the first 3 years of life. ","Child or adult has problems communicating and is unaware of non-verbal signals expressed through the face, body, voice, or motion (social cues).","https://medlineplus.gov/autismspectrumdisorder.html#:~:text=Autism%20spectrum%20disorder%20(ASD)%20is,syndrome%20and%20pervasive%20developmental%20disorders.",
Bipolar Disorder,"Formerly called manic-depressive illness or manic depression. is a mood illness (disorder) that causes unusual shifts in mood, energy, activity levels, concentration, and the ability to carry out day-to-day tasks. It is also described as observed changes in mood between severe/extreme elation or happiness and severe depression during adolescence.",A person experiences extreme happiness and extreme sadness that can last last weeks or months.  ,,https://www.nami.org/About-Mental-Illness/Mental-Health-Conditions/Bipolar-Disorder
Brain architecture,The human brain starts to develop before birth and continues into adulthood. Brain development is like building a house. A strong foundation for mental health begins early. Trauma can contribute to a weaker foundation.,,http://eccp.civiccanopy.org/message-platform/,https://dev.thebrainarchitecturegame.com/
Clinical Social Worker,"Provides mental health services for the prevention, diagnosis, and treatment of mental, emotional, and behavioral illness/disorders in individuals, families, and groups.","A person who has a degree in social sciences, could be referred to as a case worker.",https://www.bestselfwny.org/resources/glossary-of-mental-health-terms/,
Compassion Resilience,"The power to return to empathy, strength, and hope after the daily experience of the challenges our children (or clients/patients, etc.) face and those we face as their caregivers (or providers, teachers, social workers, etc.).",,https://compassionresiliencetoolkit.org/healthcare/compassion-resilience/,https://compassionresiliencetoolkit.org/healthcare/compassion-resilience/
Conduct Disorder,"A reoccurring/repetitive and continual/persistent pattern of behavioral and emotional patterns in youngsters. Children and adolescents with this disorder have great difficulty following rules, respecting the rights of others, showing understanding/empathy, and behaving in a socially acceptable way.","When a person shows violent/aggressive behavior, such as cruelty to animals, fighting and bullying. Damaging/destructive behavior, such as arson & vandalism. Dishonest/deceitful behavior, such as shoplifting and lying. Disobedience/violation of rules, which may include skipping school/truancy and running away from home.","https://www.aacap.org/AACAP/Families_and_Youth/Facts_for_Families/FFF-Guide/Conduct-Disorder-033.aspx#:~:text=%22Conduct%20disorder%22%20refers%20to%20a,in%20a%20socially%20acceptable%20way.",
Content experts,"A professional with the training, education, and tools to address an issue. Content experts can also be context experts.","This could be a doctor, nurse, school psychologist, staff at a mental health agency, or social worker. This person could be said to have ""book smarts"" or ""letters behind their name"".",https://www.tamarackcommunity.ca/hubfs/Resources/Publications/The%20Context%20Experts.pdf?hsCtaTracking=56bc3396-2e91-49d8-8efc-95fa20b82878%7Cbddea62d-6f5b-4aa4-8b0d-292bbd5c5b9b,
